time, x1, y1, z1, x2, y2, z2, x3, y3, z3, x4, y4, z4
0.00009, 0.03125, -0.10156, 0.89844, 0.03906, -0.07812, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.00064, 0.02344, -0.10156, 0.89062, 0.03906, -0.07031, 0.85156, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.00115, 0.03125, -0.12500, 0.87500, 0.04688, -0.07031, 0.85156, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.00165, 0.04688, -0.10156, 0.87500, 0.04688, -0.08594, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.00215, 0.04688, -0.11719, 0.89844, 0.05469, -0.09375, 0.84375, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.00265, 0.03125, -0.12500, 0.88281, 0.02344, -0.07812, 0.85156, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.00314, 0.04688, -0.12500, 0.89062, 0.04688, -0.08594, 0.85938, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.00364, 0.04688, -0.11719, 0.90625, 0.03906, -0.07812, 0.86719, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.00414, 0.03906, -0.11719, 0.88281, 0.03906, -0.06250, 0.86719, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.00464, 0.04688, -0.10938, 0.89844, 0.04688, -0.06250, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.00513, 0.03906, -0.13281, 0.92188, 0.06250, -0.10938, 0.90625, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.00563, 0.04688, -0.12500, 0.89062, 0.04688, -0.07812, 0.89844, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.00613, 0.03125, -0.11719, 0.93750, 0.05469, -0.08594, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.00663, 0.04688, -0.11719, 0.90625, 0.03906, -0.07812, 0.88281, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.00714, 0.03906, -0.14844, 0.91406, 0.04688, -0.07812, 0.90625, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.00763, 0.03906, -0.14844, 0.87500, 0.04688, -0.07031, 0.89062, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.00813, 0.03906, -0.12500, 0.92188, 0.03906, -0.07812, 0.88281, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.00863, 0.03906, -0.10938, 0.89062, 0.03125, -0.09375, 0.88281, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.00913, 0.03125, -0.12500, 0.92969, 0.03906, -0.08594, 0.86719, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.00965, 0.03125, -0.11719, 0.91406, 0.03906, -0.07031, 0.86719, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.01019, 0.02344, -0.10938, 0.90625, 0.03125, -0.07812, 0.86719, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.01073, 0.03906, -0.12500, 0.89844, 0.03906, -0.09375, 0.92969, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.01126, 0.03125, -0.11719, 0.90625, 0.05469, -0.07812, 0.92969, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.01179, 0.03125, -0.12500, 0.89844, 0.03906, -0.08594, 0.89062, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.01232, 0.03125, -0.11719, 0.91406, 0.03906, -0.07812, 0.89844, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.01285, 0.03125, -0.11719, 0.90625, 0.04688, -0.09375, 0.89844, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.01338, 0.03125, -0.11719, 0.91406, 0.04688, -0.07812, 0.89844, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.01394, 0.03125, -0.12500, 0.90625, 0.04688, -0.10156, 0.89844, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.01448, 0.03125, -0.13281, 0.89844, 0.03125, -0.07031, 0.91406, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.01501, 0.03125, -0.11719, 0.88281, 0.04688, -0.07031, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.01555, 0.03906, -0.10938, 0.88281, 0.05469, -0.07812, 0.88281, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.01609, 0.02344, -0.10156, 0.88281, 0.03125, -0.08594, 0.88281, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.01663, 0.04688, -0.10938, 0.90625, 0.03125, -0.07812, 0.89844, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.01717, 0.03125, -0.11719, 0.89844, 0.05469, -0.10156, 0.86719, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.01771, 0.02344, -0.10156, 0.90625, 0.03906, -0.07812, 0.86719, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.01845, 0.02344, -0.11719, 0.89844, 0.04688, -0.07812, 0.89844, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.01898, 0.03906, -0.12500, 0.92188, 0.03906, -0.07812, 0.88281, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.01956, 0.03906, -0.10938, 0.88281, 0.06250, -0.07812, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.02011, 0.03906, -0.11719, 0.87500, 0.04688, -0.06250, 0.85938, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.02065, 0.02344, -0.12500, 0.92969, 0.02344, -0.07812, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.02118, 0.01562, -0.10156, 0.90625, 0.03125, -0.07031, 0.89062, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.02172, 0.01562, -0.11719, 0.90625, 0.04688, -0.08594, 0.89844, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.02225, 0.03125, -0.10156, 0.90625, 0.04688, -0.07812, 0.85938, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.02278, 0.02344, -0.11719, 0.89844, 0.05469, -0.08594, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.02331, 0.03906, -0.10938, 0.87500, 0.05469, -0.10156, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.02384, 0.03906, -0.12500, 0.87500, 0.04688, -0.07812, 0.85938, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.02437, 0.02344, -0.11719, 0.89062, 0.04688, -0.08594, 0.85156, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.02493, 0.03906, -0.12500, 0.88281, 0.03906, -0.07031, 0.90625, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.02549, 0.03906, -0.14062, 0.86719, 0.05469, -0.07812, 0.86719, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.02602, 0.02344, -0.10938, 0.88281, 0.03125, -0.10156, 0.89062, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.02656, 0.03125, -0.11719, 0.90625, 0.04688, -0.09375, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.02711, 0.03125, -0.13281, 0.90625, 0.04688, -0.08594, 0.89062, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.02765, 0.01562, -0.11719, 0.89844, 0.04688, -0.09375, 0.90625, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.02818, 0.03906, -0.11719, 0.90625, 0.03906, -0.07812, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.02872, 0.03906, -0.12500, 0.89062, 0.04688, -0.10156, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.02925, 0.03906, -0.12500, 0.89844, 0.03125, -0.06250, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.02981, 0.02344, -0.11719, 0.89844, 0.03906, -0.07812, 0.89062, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.03035, 0.03125, -0.12500, 0.90625, 0.07031, -0.10156, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.03088, 0.04688, -0.13281, 0.90625, 0.03906, -0.07031, 0.89062, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.03143, 0.04688, -0.12500, 0.89062, 0.03125, -0.08594, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.03198, 0.04688, -0.10156, 0.89844, 0.04688, -0.07812, 0.90625, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.03255, 0.03906, -0.12500, 0.92188, 0.03906, -0.09375, 0.86719, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.03309, 0.04688, -0.12500, 0.92969, 0.04688, -0.10938, 0.88281, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.03362, 0.04688, -0.12500, 0.89062, 0.05469, -0.08594, 0.89844, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.03415, 0.02344, -0.10156, 0.91406, 0.05469, -0.09375, 0.88281, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
0.03469, 0.03125, -0.11719, 0.89844, 0.02344, -0.07031, 0.87500, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
